IRN,School District,County,Students Disability,Students EL,Students EconDis,Students White,Students Black,Students Latino,Students Asian,Students NativeAm,Students NatHaw,Students Multi,Total Students,PI,Property Tax per Student 2018,Property Tax per Student Mean,Percent Black,Percent White,Percent Disability,Percent Latino,Percent Asian,Percent NativeAm,Percent NatHaw,Percent Multi,Percent EconDis,Percent EL,Students NonWhite,Percent NonWhite
43570,Bellaire Local,Belmont,219,0,660,1029,45,19,0,0,0,68,1163,85.98700000000001,192942.6285440053,116067.54342551778,0.03869303525365434,0.884780739466896,0.1883061049011178,0.01633705932932072,0.0,0.0,0.0,0.058469475494411005,0.5674978503869303,0.0,134,0.11521926053310404
43588,Bellefontaine City,Logan,370,45,1075,1931,55,93,20,0,0,245,2348,87.218,112160.15026307889,102124.13737089663,0.023424190800681432,0.8224020442930153,0.1575809199318569,0.03960817717206133,0.008517887563884156,0.0,0.0,0.10434412265758092,0.4578364565587734,0.019165247018739354,417,0.17759795570698467
43596,Bellevue City,Huron,242,0,717,1716,0,114,0,0,0,73,1916,93.953,148824.6609933104,130401.06270730816,0.0,0.8956158663883089,0.12630480167014613,0.059498956158663886,0.0,0.0,0.0,0.038100208768267224,0.3742171189979123,0.0,200,0.10438413361169102
43604,Belpre City,Washington,149,0,505,868,0,15,0,0,0,67,960,86.563,170695.784256249,148883.47986054028,0.0,0.9041666666666667,0.15520833333333334,0.015625,0.0,0.0,0.0,0.06979166666666667,0.5260416666666666,0.0,92,0.09583333333333334
43612,Berea City,Cuyahoga,991,155,1708,4488,354,477,313,15,10,407,6064,85.084,238933.45272218305,206731.92111201643,0.05837730870712401,0.7401055408970977,0.16342348284960423,0.07866094986807388,0.05161609498680739,0.002473614775725594,0.0016490765171503958,0.0671174142480211,0.2816622691292876,0.025560686015831134,1576,0.2598944591029024
43620,Bexley City,Franklin,300,18,229,2017,172,77,58,0,0,144,2470,101.65100000000001,223815.4833533895,216150.9928164434,0.06963562753036437,0.8165991902834008,0.1214574898785425,0.031174089068825912,0.02348178137651822,0.0,0.0,0.058299595141700404,0.09271255060728745,0.0072874493927125505,453,0.1834008097165992
43638,Bowling Green City School District,Wood,411,50,1255,2346,134,364,67,23,0,43,2980,89.66300000000001,222915.1935454628,201145.9372863161,0.04496644295302014,0.7872483221476511,0.1379194630872483,0.1221476510067114,0.02248322147651007,0.0077181208053691275,0.0,0.014429530201342283,0.4211409395973154,0.016778523489932886,634,0.212751677852349
43646,Brecksville-Broadview Heights City,Cuyahoga,364,87,405,3165,79,146,216,0,0,189,3796,108.07100000000001,298638.16006437404,256441.193471554,0.020811380400421495,0.83377239199157,0.0958904109589041,0.038461538461538464,0.05690200210748156,0.0,0.0,0.04978925184404637,0.10669125395152793,0.02291886195995785,631,0.16622760800842992
43653,Brooklyn City,Cuyahoga,214,0,559,729,113,286,55,0,0,100,1283,78.989,265124.3657500995,218965.84438978176,0.08807482462977397,0.5681995323460639,0.16679657053780203,0.22291504286827749,0.042868277474668745,0.0,0.0,0.0779423226812159,0.4356975837879969,0.0,554,0.4318004676539361
43661,Brunswick City,Medina,729,52,1392,6242,105,266,88,0,0,223,6931,94.22,159577.9194730656,140462.4365103346,0.015149329101139806,0.9005915452315684,0.10517962775934209,0.03837830038955418,0.012696580580002885,0.0,0.0,0.03217428942432549,0.200836820083682,0.007502524888183523,689,0.09940845476843169
43679,Bryan City,Williams,311,0,646,1698,0,147,26,0,0,47,1929,89.59,140511.6768700878,133705.3272435757,0.0,0.880248833592535,0.1612234318299637,0.07620528771384137,0.01347848626231208,0.0,0.0,0.02436495593571799,0.33488854328667705,0.0,231,0.11975116640746501
43687,Bucyrus City,Crawford,283,0,788,1108,13,27,10,0,0,70,1228,77.635,82892.84828387534,77160.1836873903,0.010586319218241042,0.9022801302931596,0.2304560260586319,0.021986970684039087,0.008143322475570033,0.0,0.0,0.057003257328990226,0.6416938110749185,0.0,120,0.09771986970684039
43695,Cambridge City,Guernsey,378,0,1028,1816,32,19,0,0,0,82,1954,82.018,133194.3677474721,104963.35472629798,0.016376663254861822,0.9293756397134084,0.19344933469805528,0.009723643807574206,0.0,0.0,0.0,0.04196519959058342,0.526100307062436,0.0,138,0.07062436028659161
43703,Campbell City,Mahoning,138,100,1070,354,296,340,0,0,0,80,1072,71.21600000000001,44915.17471839246,47595.070204444244,0.27611940298507465,0.3302238805970149,0.1287313432835821,0.31716417910447764,0.0,0.0,0.0,0.07462686567164178,0.9981343283582089,0.09328358208955224,718,0.6697761194029851
43711,Canton City,Stark,1322,193,8416,3443,3060,531,19,16,11,1336,8416,64.429,65154.246346900516,57528.45403959533,0.36359315589353614,0.40910171102661597,0.15708174904942965,0.06309410646387832,0.0022576045627376424,0.0019011406844106464,0.0013070342205323193,0.15874524714828897,1.0,0.02293250950570342,4973,0.590898288973384
43729,Celina City,Mercer,461,114,1086,2346,22,89,29,0,124,78,2695,89.462,156801.91702432046,147687.64739761068,0.00816326530612245,0.8705009276437848,0.17105751391465676,0.033024118738404454,0.010760667903525046,0.0,0.04601113172541744,0.02894248608534323,0.40296846011131726,0.042300556586270875,349,0.12949907235621522
43737,Centerville City,Montgomery,1079,208,1176,6283,629,215,827,0,0,388,8358,96.47500000000001,236607.33892448666,217337.99644020063,0.0752572385738215,0.7517348648001915,0.12909787030390046,0.02572385738214884,0.09894711653505624,0.0,0.0,0.046422589136156975,0.1407035175879397,0.024886336444125388,2075,0.24826513519980856
43745,Chillicothe City,Ross,358,0,2736,2085,180,87,19,0,0,367,2743,76.367,129948.87500384745,119560.67124224364,0.06562158220925994,0.7601166605905942,0.13051403572730588,0.031717098067808966,0.006926722566532993,0.0,0.0,0.13379511483776887,0.997448049580751,0.0,658,0.23988333940940576
43752,Cincinnati Public Schools,Hamilton,6232,2312,27688,8181,21664,2221,498,41,30,2166,34801,72.577,141889.8053269304,143344.58293636984,0.6225108473894428,0.23507945173989253,0.1790753139277607,0.06382000517226516,0.014309933622597052,0.0011781270653142151,0.0008620441941323525,0.06223959081635585,0.7956093215712192,0.0664348725611333,26620,0.7649205482601075
43760,Circleville City,Pickaway,324,0,904,1939,52,54,17,0,0,105,2175,81.635,132103.58687265616,118858.56327621838,0.023908045977011495,0.8914942528735632,0.1489655172413793,0.02482758620689655,0.007816091954022988,0.0,0.0,0.04827586206896552,0.41563218390804596,0.0,236,0.10850574712643678
43778,Claymont City,Tuscarawas,332,0,1870,1749,30,33,0,0,0,58,1877,84.429,93629.59479269336,78286.008062582,0.015982951518380393,0.931806073521577,0.1768779968034097,0.017581246670218435,0.0,0.0,0.0,0.03090037293553543,0.9962706446457112,0.0,128,0.06819392647842301
43786,Cleveland Municipal,Cuyahoga,8191,3679,38000,5878,24372,6158,440,85,56,1011,38000,61.564,102820.05659250096,91879.98096324144,0.6413684210526316,0.15468421052631579,0.21555263157894736,0.16205263157894736,0.011578947368421053,0.0022368421052631577,0.0014736842105263158,0.026605263157894736,1.0,0.09681578947368422,32122,0.8453157894736842
43794,Cleveland Heights-University Heights City,Cuyahoga,964,98,5282,925,3771,193,100,0,0,289,5284,75.177,168489.7810362539,174214.19726209005,0.7136638909916729,0.1750567751703255,0.18243754731264195,0.03652535957607873,0.018925056775170326,0.0,0.0,0.05469341408024224,0.9996214988644966,0.01854655563966692,4359,0.8249432248296745
43802,Columbus City School District,Franklin,7857,7859,49008,10994,26359,6105,1915,120,33,3482,49008,63.1,142878.76876326345,135540.93218704447,0.537850963108064,0.22433072151485473,0.160320763956905,0.1245714985308521,0.039075253019915115,0.002448579823702253,0.0006733594515181194,0.0710496245510937,1.0,0.16036157362063336,38014,0.7756692784851453
43810,Conneaut Area City,Ashtabula,302,0,921,1429,19,46,0,0,0,81,1581,81.437,128584.6181109339,115658.64345222869,0.012017710309930424,0.9038583175205566,0.19101834282099936,0.0290955091714105,0.0,0.0,0.0,0.051233396584440226,0.5825426944971537,0.0,152,0.0961416824794434
43828,Coshocton City,Coshocton,306,0,1552,1397,45,25,0,0,0,80,1552,83.188,99571.36208414407,96659.9327297981,0.028994845360824743,0.9001288659793815,0.19716494845360824,0.01610824742268041,0.0,0.0,0.0,0.05154639175257732,1.0,0.0,155,0.09987113402061856
43836,Cuyahoga Falls City,Summit,644,220,2191,3721,244,102,304,0,0,248,4626,87.31400000000001,171140.85883249057,154828.7050769183,0.0527453523562473,0.8043666234327713,0.1392131431041937,0.02204928664072633,0.06571552096843926,0.0,0.0,0.05361003026372676,0.47362732382187633,0.04755728491137051,905,0.1956333765672287
43844,Dayton City,Montgomery,2318,972,12557,3128,8177,551,55,16,10,634,12571,57.34,64067.03677945448,66800.03129558692,0.6504653567735263,0.24882666454538224,0.18439264974942327,0.04383103969453504,0.004375149152812028,0.0012727706626362262,0.0007954816641476414,0.05043353750696047,0.9988863256701933,0.07732081775515075,9443,0.7511733354546177
43851,Deer Park Community City,Hamilton,171,17,497,912,104,63,36,0,0,109,1227,90.68900000000001,189293.55451398462,182227.94539208434,0.08475957620211899,0.7432762836185819,0.1393643031784841,0.05134474327628362,0.029339853300733496,0.0,0.0,0.08883455582722087,0.4050529747351263,0.013854930725346373,315,0.2567237163814181
43869,Defiance City,Defiance,294,0,1172,1636,162,582,11,0,0,51,2443,83.239,100883.08545062547,91025.84497844434,0.0663119115841179,0.6696684404420794,0.12034383954154727,0.23823168235775685,0.0045026606631191155,0.0,0.0,0.020875972165370446,0.47973802701596396,0.0,807,0.3303315595579206
43877,Delaware City,Delaware,858,153,1788,4601,234,426,32,0,0,387,5685,92.339,147509.9706422928,133926.7673822346,0.04116094986807388,0.8093227792436236,0.15092348284960422,0.07493403693931398,0.005628847845206684,0.0,0.0,0.06807387862796833,0.3145118733509235,0.02691292875989446,1084,0.19067722075637644
43885,Delphos City,Allen,105,14,439,868,0,33,0,0,0,33,943,99.909,203263.09523809524,173385.29815682728,0.0,0.9204665959703076,0.11134676564156946,0.03499469777306469,0.0,0.0,0.0,0.03499469777306469,0.46553552492046657,0.014846235418875928,75,0.07953340402969247
43893,Dover City,Tuscarawas,328,257,803,2279,49,332,18,0,0,32,2712,93.89800000000001,138317.88679792595,127343.68157712274,0.018067846607669618,0.8403392330383481,0.12094395280235988,0.1224188790560472,0.00663716814159292,0.0,0.0,0.011799410029498525,0.29609144542772864,0.09476401179941003,433,0.1596607669616519
43901,East Cleveland City School District,Cuyahoga,499,0,1231,0,1912,0,0,0,0,0,1934,55.279,56366.12666814378,63547.33539803572,0.9886246122026887,0.0,0.2580144777662875,0.0,0.0,0.0,0.0,0.0,0.6365046535677352,0.0,1934,1.0
43919,East Liverpool City,Columbiana,372,0,2128,1810,113,32,0,0,0,174,2137,71.916,72289.15246724685,65357.87858370222,0.052877866167524566,0.8469817501169864,0.17407580720636406,0.014974262985493684,0.0,0.0,0.0,0.0814225549836219,0.9957884885353299,0.0,327,0.15301824988301357
43927,East Palestine City,Columbiana,167,0,575,1027,13,25,0,0,0,19,1088,87.51700000000001,107806.74151770325,98356.97452391562,0.011948529411764705,0.9439338235294118,0.15349264705882354,0.02297794117647059,0.0,0.0,0.0,0.017463235294117647,0.5284926470588235,0.0,61,0.05606617647058824
43935,Eaton Community City,Preble,208,0,669,1812,0,33,25,0,0,62,1944,95.373,149747.29163289408,132089.86271734568,0.0,0.9320987654320988,0.10699588477366255,0.016975308641975308,0.01286008230452675,0.0,0.0,0.03189300411522634,0.3441358024691358,0.0,132,0.06790123456790123
43943,Elyria City Schools,Lorain,1031,154,4232,3085,1250,771,20,12,0,956,6094,74.736,122095.03469987428,111874.39794100182,0.2051197899573351,0.506235641614703,0.16918280275680997,0.1265178864456843,0.0032819166393173614,0.001969149983590417,0.0,0.15687561535936986,0.6944535608795537,0.02527075812274368,3009,0.49376435838529703
43950,Euclid City,Cuyahoga,1025,0,4059,362,4434,105,0,15,0,246,5170,63.856,85992.27825018202,84723.81053119461,0.8576402321083172,0.0700193423597679,0.19825918762088976,0.020309477756286266,0.0,0.0029013539651837525,0.0,0.04758220502901354,0.7851063829787234,0.0,4808,0.9299806576402321
43968,Fairborn City,Greene,642,116,3404,3116,429,171,56,0,14,406,4198,82.38,137505.6445545869,132492.47776741598,0.10219151977131967,0.7422582181991424,0.1529299666507861,0.0407336827060505,0.01333968556455455,0.0,0.0033349213911386373,0.09671272034302049,0.8108623153882801,0.027632205812291567,1082,0.25774178180085755
43976,Fairview Park City,Cuyahoga,230,34,409,1438,76,98,36,0,0,53,1702,90.296,237272.06066209608,201684.81661386346,0.04465334900117509,0.8448883666274971,0.13513513513513514,0.057579318448883664,0.021151586368977675,0.0,0.0,0.031139835487661575,0.24030552291421856,0.0199764982373678,264,0.15511163337250294
43984,Findlay City,Hancock,1034,81,1992,4470,166,567,153,0,0,325,5689,87.247,150795.06227384426,136576.79246670607,0.029179117595359464,0.7857268412726314,0.18175426261205835,0.09966602214800492,0.026894005976445774,0.0,0.0,0.057127790472842326,0.3501494111443136,0.014238003164000703,1219,0.2142731587273686
43992,Fostoria City,Seneca,305,24,1380,1017,100,404,0,0,0,309,1838,74.938,76817.95650504415,77848.48930926477,0.0544069640914037,0.5533188248095756,0.16594124047878128,0.21980413492927095,0.0,0.0,0.0,0.16811751904243744,0.750816104461371,0.013057671381936888,821,0.4466811751904244
44008,Franklin City,Warren,511,12,1315,2565,60,55,18,0,0,80,2781,86.16300000000001,154707.03217552006,139198.26323467807,0.021574973031283712,0.9223300970873787,0.18374685364976628,0.019777058612010068,0.006472491909385114,0.0,0.0,0.02876663070837828,0.472851492268968,0.004314994606256742,216,0.07766990291262135
44016,Fremont City,Sandusky,482,83,2433,2067,327,914,0,0,0,335,3658,81.628,151538.01961876528,135169.27841013108,0.08939311098961181,0.5650628758884636,0.131765992345544,0.2498633132859486,0.0,0.0,0.0,0.09158009841443411,0.6651175505740842,0.022689994532531437,1591,0.43493712411153634
44024,Galion City,Crawford,271,0,1093,1654,11,35,0,0,0,44,1748,78.021,88678.81133951417,80350.2496878257,0.006292906178489702,0.9462242562929062,0.15503432494279176,0.02002288329519451,0.0,0.0,0.0,0.02517162471395881,0.6252860411899314,0.0,94,0.05377574370709382
44032,Gallipolis City,Gallia,486,0,1075,1856,60,20,17,0,0,100,2053,84.396,136111.10721899176,121988.07587567803,0.029225523623964928,0.9040428641013152,0.23672674135411592,0.00974184120798831,0.008280565026790063,0.0,0.0,0.04870920603994155,0.5236239649293717,0.0,197,0.09595713589868485
44040,Garfield Heights City Schools,Cuyahoga,658,24,1919,512,2712,109,25,0,0,244,3611,63.351000000000006,73938.24571890221,82741.155514782,0.7510384934921075,0.14178897812240376,0.18222099141512046,0.030185544170589863,0.006923289947382997,0.0,0.0,0.06757130988645804,0.5314317363611188,0.006646358349487676,3099,0.8582110218775962
44057,Geneva Area City,Ashtabula,351,39,1055,2069,22,132,0,0,0,82,2314,84.96900000000001,166688.93040426966,147780.5632874677,0.00950734658599827,0.8941227312013829,0.15168539325842698,0.05704407951598963,0.0,0.0,0.0,0.03543647363872083,0.45592048401037166,0.016853932584269662,245,0.10587726879861711
44065,Girard City School District,Trumbull,228,0,1058,1399,136,64,10,0,0,86,1700,97.71900000000001,87456.9446729871,80689.93240196834,0.08,0.8229411764705883,0.13411764705882354,0.03764705882352941,0.0058823529411764705,0.0,0.0,0.05058823529411765,0.6223529411764706,0.0,301,0.17705882352941177
44073,Grandview Heights Schools,Franklin,123,0,46,967,13,25,11,0,0,47,1065,105.144,358148.5182314733,289421.8187493646,0.012206572769953052,0.907981220657277,0.11549295774647887,0.023474178403755867,0.010328638497652582,0.0,0.0,0.044131455399061034,0.0431924882629108,0.0,98,0.09201877934272301
44081,Winton Woods City,Hamilton,548,709,1546,373,2077,752,241,0,0,310,3763,65.537,111268.72140038254,118211.7624075907,0.5519532288068031,0.0991230401275578,0.14562848790858357,0.19984055275046506,0.06404464522986979,0.0,0.0,0.08238107892638852,0.4108424129683763,0.1884134998671273,3390,0.9008769598724422
44099,Greenville City,Darke,365,18,903,2330,19,52,20,0,0,76,2508,83.792,172248.93487313195,147237.65265457134,0.007575757575757576,0.9290271132376395,0.14553429027113238,0.02073365231259968,0.007974481658692184,0.0,0.0,0.030303030303030304,0.36004784688995217,0.007177033492822967,178,0.07097288676236045
44107,Hamilton City,Butler,1534,620,6236,6517,1248,1641,56,16,68,529,10075,78.919,78156.47200636045,78586.56712291946,0.12387096774193548,0.646848635235732,0.15225806451612903,0.16287841191066998,0.005558312655086849,0.001588089330024814,0.006749379652605459,0.05250620347394541,0.6189578163771712,0.06153846153846154,3558,0.353151364764268
44115,Heath City,Licking,233,0,614,1474,30,34,11,0,0,136,1688,90.61500000000001,169012.30545604933,148949.9492767761,0.017772511848341232,0.8732227488151659,0.13803317535545023,0.02014218009478673,0.006516587677725118,0.0,0.0,0.08056872037914692,0.3637440758293839,0.0,214,0.12677725118483413
44123,Hillsboro City,Highland,371,0,1402,2088,40,53,12,0,0,146,2344,89.96600000000001,143578.99847998648,116895.41796640932,0.017064846416382253,0.8907849829351536,0.1582764505119454,0.022610921501706484,0.005119453924914676,0.0,0.0,0.06228668941979522,0.5981228668941979,0.0,256,0.10921501706484642
44131,Huron City Schools,Erie,151,0,329,1202,14,58,13,0,0,34,1325,98.046,281452.7600931078,239108.97699022418,0.010566037735849057,0.9071698113207547,0.11396226415094339,0.04377358490566038,0.009811320754716982,0.0,0.0,0.025660377358490565,0.24830188679245283,0.0,123,0.09283018867924528
44149,Ironton City School District,Lawrence,158,0,1329,1190,49,20,0,0,0,84,1353,86.51,112258.37810731427,101807.15675562172,0.03621581670362158,0.8795269770879527,0.11677753141167775,0.014781966001478197,0.0,0.0,0.0,0.06208425720620843,0.9822616407982262,0.0,163,0.1204730229120473
44156,Jackson City,Jackson,323,0,1080,2265,20,21,15,0,0,31,2355,95.27,133654.30841486942,112706.6744754019,0.008492569002123142,0.9617834394904459,0.13715498938428874,0.008917197452229299,0.006369426751592357,0.0,0.0,0.013163481953290871,0.4585987261146497,0.0,90,0.03821656050955414
44164,Kent City,Portage,529,121,1370,2479,443,115,74,0,0,306,3424,92.703,202082.20467171806,171898.0357579963,0.12938084112149534,0.7240070093457944,0.15449766355140188,0.03358644859813084,0.02161214953271028,0.0,0.0,0.08936915887850468,0.40011682242990654,0.03533878504672897,945,0.2759929906542056
44172,Kenton City,Hardin,315,0,1161,1699,12,80,10,0,0,47,1848,84.028,128913.28393058768,114701.53732397914,0.006493506493506494,0.9193722943722944,0.17045454545454544,0.04329004329004329,0.005411255411255411,0.0,0.0,0.025432900432900432,0.6282467532467533,0.0,149,0.08062770562770563
44180,Kettering City School District,Montgomery,1094,192,2779,6280,486,409,127,0,0,529,7848,96.382,179523.417507442,172258.58741844157,0.06192660550458716,0.800203873598369,0.13939857288481142,0.05211518858307849,0.016182466870540264,0.0,0.0,0.06740570846075433,0.35410295616717635,0.024464831804281346,1568,0.199796126401631
44198,Lakewood City,Cuyahoga,703,326,1835,3558,372,374,243,0,0,370,4922,94.342,221260.19805026558,166376.17389538366,0.07557903291344982,0.7228768793173507,0.1428281186509549,0.07598537180008126,0.04937017472572125,0.0,0.0,0.07517269402681837,0.37281592848435596,0.06623323852092645,1364,0.2771231206826493
44206,Lancaster City,Fairfield,943,24,3000,5811,169,137,20,0,0,238,6384,84.184,144369.90734636638,140542.70379980985,0.026472431077694234,0.9102443609022557,0.14771303258145363,0.021459899749373432,0.003132832080200501,0.0,0.0,0.03728070175438596,0.4699248120300752,0.0037593984962406013,573,0.08975563909774437
44214,Lebanon City,Warren,684,98,1009,4839,84,331,47,0,0,218,5524,92.74600000000001,177977.7001221036,146509.53116069976,0.015206372194062274,0.8759956553222302,0.12382331643736423,0.05992034757422158,0.008508327299058652,0.0,0.0,0.03946415640839971,0.18265749456915278,0.01774076755973932,685,0.12400434467776973
44222,Lima City,Allen,718,26,3649,1301,1445,205,0,0,0,684,3649,68.497,59695.63127240603,58270.526073189074,0.39599890380926284,0.35653603727048505,0.1967662373252946,0.056179775280898875,0.0,0.0,0.0,0.1874486160591943,1.0,0.00712523979172376,2348,0.6434639627295149
44230,Lockland Local,Hamilton,91,56,543,188,247,50,0,0,0,58,546,56.04,98237.14990200418,103946.88737189148,0.4523809523809524,0.3443223443223443,0.16666666666666666,0.09157509157509157,0.0,0.0,0.0,0.10622710622710622,0.9945054945054945,0.10256410256410256,358,0.6556776556776557
44248,Logan-Hocking Local,Hocking,781,0,3762,3592,21,41,10,0,0,96,3763,90.991,153391.26771062342,130168.2908015745,0.005580653733723093,0.9545575338825405,0.20754716981132076,0.01089556205155461,0.0026574541589157587,0.0,0.0,0.025511559925591284,0.9997342545841085,0.0,171,0.045442466117459474
44255,London City,Madison,333,23,670,1872,69,42,14,0,0,101,2103,83.75500000000001,168464.22003677938,146390.98402467658,0.03281027104136947,0.8901569186875892,0.15834522111269614,0.019971469329529243,0.006657156443176415,0.0,0.0,0.048026628625772706,0.3185924869234427,0.010936757013789824,231,0.10984308131241084
44263,Lorain City,Lorain,1225,532,6419,1375,1756,2728,12,16,0,530,6419,64.461,61974.08114748493,60033.11148626445,0.27356286025860727,0.21420782053279327,0.19083969465648856,0.4249883159370618,0.0018694500701043775,0.0024926000934725034,0.0,0.08256737809627668,1.0,0.08287895310796074,5044,0.7857921794672067
44271,Loveland City,Hamilton,533,60,552,4097,83,150,103,0,0,158,4597,101.111,194310.79881820496,172939.55155838106,0.01805525342614749,0.8912334130954971,0.11594518164020014,0.03262997607135088,0.022405916902327606,0.0,0.0,0.03437024146182293,0.12007831194257124,0.013051990428540352,500,0.10876658690450294
44289,Madeira City,Hamilton,153,14,87,1333,19,69,40,0,0,53,1516,109.171,247863.59110086213,224067.87133594172,0.012532981530343008,0.8792875989445911,0.10092348284960422,0.04551451187335093,0.026385224274406333,0.0,0.0,0.03496042216358839,0.05738786279683377,0.009234828496042216,183,0.12071240105540897
44297,Mansfield City,Richland,778,11,2965,1728,954,124,0,0,0,474,3299,71.667,82929.40244156352,80905.03200758871,0.28917853895119733,0.5237950894210367,0.2358290391027584,0.037587147620491056,0.0,0.0,0.0,0.14367990300090935,0.898757199151258,0.0033343437405274324,1571,0.4762049105789633
44305,Maple Heights City,Cuyahoga,653,0,3627,74,3307,107,0,0,0,139,3629,64.806,63950.12096709095,73030.8800941467,0.9112703224028658,0.020391292367043262,0.1799393772389088,0.029484706530724717,0.0,0.0,0.0,0.03830256268944613,0.9994488839900799,0.0,3555,0.9796087076329567
44313,Mariemont City,Hamilton,125,0,165,1498,21,48,21,0,0,61,1650,107.391,232597.73821989528,210055.76290008333,0.012727272727272728,0.9078787878787878,0.07575757575757576,0.02909090909090909,0.012727272727272728,0.0,0.0,0.03696969696969697,0.1,0.0,152,0.09212121212121212
44321,Marietta City,Washington,363,0,1199,2322,32,49,30,0,0,96,2534,81.272,186714.35435960162,165957.3963712724,0.012628255722178374,0.9163378058405682,0.14325177584846094,0.019337016574585635,0.011838989739542225,0.0,0.0,0.037884767166535126,0.47316495659037094,0.0,212,0.08366219415943173
44339,Marion City,Marion,792,66,4496,3449,330,310,0,0,0,399,4501,67.282,69530.88843740617,66751.42069378469,0.07331704065763164,0.7662741612974895,0.17596089757831593,0.0688735836480782,0.0,0.0,0.0,0.08864696734059098,0.9988891357476116,0.014663408131526327,1052,0.23372583870251054
44347,Martins Ferry City,Belmont,283,0,841,1241,80,24,0,0,0,124,1480,85.02900000000001,151302.3226207989,99895.40751659454,0.05405405405405406,0.8385135135135136,0.1912162162162162,0.016216216216216217,0.0,0.0,0.0,0.08378378378378379,0.5682432432432433,0.0,239,0.16148648648648647
44354,Massillon City,Stark,554,99,3912,2784,416,215,0,10,0,471,3912,83.168,112423.7951534993,96298.63628988301,0.10633946830265849,0.7116564417177914,0.1416155419222904,0.05495910020449898,0.0,0.002556237218813906,0.0,0.12039877300613497,1.0,0.02530674846625767,1128,0.2883435582822086
44362,Maumee City,Lucas,250,22,750,1657,196,167,41,0,0,135,2197,94.555,184310.39298072172,163002.136627699,0.08921256258534364,0.7542102867546655,0.1137915339098771,0.0760127446517979,0.018661811561219845,0.0,0.0,0.06144742831133364,0.3413746017296313,0.010013654984069186,540,0.24578971324533455
44370,Mayfield City,Cuyahoga,785,145,1221,2841,797,184,401,0,0,240,4472,94.918,349922.8519995374,337945.37873637775,0.1782200357781753,0.6352862254025045,0.17553667262969588,0.04114490161001789,0.08966905187835421,0.0,0.0,0.05366726296958855,0.27303220035778175,0.03242397137745975,1631,0.36471377459749554
